Rank,Team,Rating,Month,Year
4,Pakistan,101,2,1994
5,India,101,2,1994
6,England,99,2,1994
7,New Zealand,97,2,1994
8,Sri Lanka,91,2,1994
9,Zimbabwe,26,2,1994
1,West Indies,113,3,1994
2,Australia,105,3,1994
3,Pakistan,102,3,1994
4,England,101,3,1994
5,South Africa,101,3,1994
6,India,100,3,1994
7,New Zealand,95,3,1994
8,Sri Lanka,91,3,1994
9,Zimbabwe,26,3,1994
1,West Indies,113,4,1994
2,Australia,108,4,1994
3,Pakistan,105,4,1994
4,England,103,4,1994
5,South Africa,99,4,1994
6,India,99,4,1994
7,New Zealand,93,4,1994
8,Sri Lanka,88,4,1994
9,Zimbabwe,26,4,1994
1,West Indies,114,5,1994
2,Pakistan,109,5,1994
3,Australia,107,5,1994
4,South Africa,101,5,1994
5,India,100,5,1994
6,England,96,5,1994
7,New Zealand,91,5,1994
8,Sri Lanka,88,5,1994
9,Zimbabwe,26,5,1994
1,West Indies,114,6,1994
2,Pakistan,111,6,1994
3,Australia,107,6,1994
4,England,106,6,1994
5,India,97,6,1994
6,South Africa,96,6,1994
7,New Zealand,91,6,1994
8,Sri Lanka,89,6,1994
9,Zimbabwe,26,6,1994
1,West Indies,114,7,1994
2,Australia,106,7,1994
3,Pakistan,106,7,1994
4,England,106,7,1994
5,India,102,7,1994
6,South Africa,94,7,1994
7,Sri Lanka,93,7,1994
8,New Zealand,91,7,1994
9,Zimbabwe,26,7,1994
1,West Indies,114,8,1994
2,Australia,110,8,1994
3,Pakistan,108,8,1994
4,England,106,8,1994
5,India,105,8,1994
6,Sri Lanka,93,8,1994
7,New Zealand,88,8,1994
8,South Africa,87,8,1994
9,Zimbabwe,26,8,1994
1,India,114,9,1994
2,Australia,110,9,1994
3,Pakistan,108,9,1994
4,West Indies,106,9,1994
5,England,106,9,1994
6,Sri Lanka,90,9,1994
7,South Africa,87,9,1994
8,New Zealand,86,9,1994
9,Zimbabwe,33,9,1994
1,India,114,0,1995
2,Australia,112,0,1995
3,Pakistan,110,0,1995
4,West Indies,106,0,1995
5,England,96,0,1995
6,South Africa,92,0,1995
7,Sri Lanka,90,0,1995
8,New Zealand,78,0,1995
9,Zimbabwe,38,0,1995
1,India,114,1,1995
2,Australia,111,1,1995
3,West Indies,108,1,1995
4,Pakistan,106,1,1995
5,England,100,1,1995
6,South Africa,94,1,1995
7,Sri Lanka,90,1,1995
8,New Zealand,76,1,1995
9,Zimbabwe,38,1,1995
1,India,110,2,1995
2,West Indies,110,2,1995
3,Australia,109,2,1995
4,Pakistan,104,2,1995
5,England,100,2,1995
6,South Africa,94,2,1995
7,Sri Lanka,90,2,1995
8,New Zealand,80,2,1995
9,Zimbabwe,46,2,1995
1,West Indies,112,3,1995
2,India,110,3,1995
3,Australia,107,3,1995
4,Pakistan,104,3,1995
5,England,100,3,1995
6,South Africa,94,3,1995
7,Sri Lanka,88,3,1995
8,New Zealand,82,3,1995
9,Zimbabwe,46,3,1995
1,West Indies,113,4,1995
2,India,110,4,1995
3,Australia,107,4,1995
4,Pakistan,104,4,1995
5,England,98,4,1995
